damage taken,direction,encounter,month of departure
20%,southbound,pirates,1/1396
14%,southbound,pirates,1/1396
83%,southbound,nessie,1/1396
100%+,southbound,unknown,1/1396
67%,southbound,merpeople,1/1396
22%,southbound,sharks,1/1396
100%+,northbound,unknown,1/1396
28%,southbound,sharks,1/1396
57%,northbound,kraken,1/1396
84%,northbound,crabmonsters,1/1396
25%,southbound,pirates,1/1396
100%+,southbound,unknown,1/1396
18%,southbound,pirates,1/1396
84%,southbound,water elemental,1/1396
13%,southbound,pirates,1/1396
37%,northbound,sharks,1/1396
51%,northbound,kraken,1/1396
22%,northbound,sharks,1/1396
29%,northbound,sharks,1/1396
83%,southbound,water elemental,1/1396
51%,southbound,kraken,1/1396
53%,northbound,kraken,1/1396
100%+,northbound,unknown,1/1396
19%,northbound,pirates,1/1396
12%,southbound,harpy,1/1396
56%,northbound,kraken,1/1396
36%,southbound,pirates,1/1396
12%,southbound,crabmonsters,1/1396
31%,southbound,sharks,1/1396
23%,northbound,sharks,1/1396
65%,northbound,kraken,1/1396
26%,southbound,crabmonsters,1/1396
58%,southbound,merpeople,1/1396
81%,northbound,crabmonsters,1/1396
39%,northbound,pirates,1/1396
55%,northbound,kraken,1/1396
18%,northbound,pirates,1/1396
32%,southbound,merpeople,1/1396
16%,southbound,pirates,1/1396
86%,northbound,nessie,1/1396
100%+,northbound,unknown,1/1396
35%,southbound,merpeople,1/1396
78%,northbound,water elemental,1/1396
42%,southbound,pirates,1/1396
20%,northbound,pirates,1/1396
94%,southbound,nessie,1/1396
83%,northbound,water elemental,1/1396
42%,northbound,pirates,1/1396
42%,northbound,pirates,1/1396
82%,northbound,merpeople,1/1396
33%,southbound,pirates,1/1396
21%,northbound,pirates,1/1396
49%,northbound,pirates,1/1396
73%,southbound,merpeople,1/1396
57%,northbound,kraken,1/1396
13%,northbound,pirates,1/1396
35%,northbound,pirates,1/1396
18%,southbound,sharks,1/1396
76%,southbound,water elemental,1/1396
17%,southbound,pirates,1/1396
66%,southbound,merpeople,1/1396
10%,southbound,harpy,1/1396
100%+,southbound,unknown,1/1396
63%,northbound,crabmonsters,1/1396
76%,southbound,water elemental,1/1396
100%+,southbound,unknown,1/1396
9%,northbound,harpy,1/1396
37%,northbound,pirates,1/1396
44%,southbound,pirates,1/1396
65%,northbound,kraken,1/1396
43%,southbound,merpeople,1/1396
32%,northbound,sharks,1/1396
48%,southbound,pirates,1/1396
46%,northbound,pirates,1/1396
12%,northbound,sharks,1/1396
100%+,southbound,unknown,1/1396
51%,southbound,merpeople,1/1396
28%,southbound,sharks,1/1396
39%,southbound,pirates,1/1396
97%,southbound,demon whale,1/1396
42%,southbound,merpeople,1/1396
16%,northbound,sharks,1/1396
48%,northbound,merpeople,1/1396
20%,northbound,sharks,1/1396
100%+,southbound,unknown,1/1396
46%,southbound,pirates,1/1396
15%,northbound,harpy,1/1396
11%,northbound,pirates,1/1396
13%,southbound,pirates,1/1396
100%+,northbound,unknown,1/1396
100%+,northbound,unknown,1/1396
50%,southbound,pirates,2/1396
59%,northbound,merpeople,2/1396
85%,northbound,nessie,2/1396
19%,northbound,pirates,2/1396
17%,northbound,pirates,2/1396
100%+,northbound,unknown,2/1396
74%,northbound,water elemental,2/1396
47%,southbound,pirates,2/1396
54%,southbound,crabmonsters,2/1396
13%,northbound,sharks,2/1396
83%,northbound,crabmonsters,2/1396
100%+,northbound,unknown,2/1396
18%,northbound,sharks,2/1396
47%,southbound,kraken,2/1396
23%,southbound,sharks,2/1396
49%,northbound,pirates,2/1396
26%,southbound,sharks,2/1396
24%,southbound,sharks,2/1396
29%,northbound,sharks,2/1396
29%,northbound,pirates,2/1396
81%,northbound,water elemental,2/1396
87%,northbound,nessie,2/1396
18%,northbound,sharks,2/1396
62%,southbound,kraken,2/1396
77%,southbound,water elemental,2/1396
22%,northbound,crabmonsters,2/1396
26%,northbound,pirates,2/1396
30%,northbound,pirates,2/1396
39%,southbound,sharks,2/1396
30%,northbound,sharks,2/1396
42%,southbound,pirates,2/1396
57%,southbound,pirates,2/1396
97%,northbound,merpeople,2/1396
39%,northbound,kraken,2/1396
26%,northbound,pirates,2/1396
48%,northbound,kraken,2/1396
79%,northbound,water elemental,2/1396
38%,southbound,sharks,2/1396
74%,northbound,merpeople,2/1396
33%,northbound,sharks,2/1396
10%,northbound,harpy,2/1396
79%,southbound,water elemental,2/1396
23%,southbound,sharks,2/1396
26%,southbound,merpeople,2/1396
82%,northbound,water elemental,2/1396
41%,southbound,pirates,2/1396
34%,northbound,pirates,2/1396
23%,northbound,sharks,2/1396
61%,northbound,kraken,2/1396
100%+,northbound,unknown,2/1396
45%,southbound,pirates,2/1396
46%,southbound,pirates,2/1396
100%+,southbound,unknown,2/1396
18%,northbound,pirates,2/1396
17%,northbound,harpy,2/1396
97%,southbound,nessie,2/1396
81%,northbound,merpeople,2/1396
79%,southbound,nessie,2/1396
100%+,southbound,unknown,2/1396
18%,northbound,pirates,2/1396
49%,southbound,pirates,2/1396
17%,southbound,pirates,2/1396
31%,southbound,sharks,2/1396
17%,southbound,pirates,2/1396
78%,northbound,water elemental,2/1396
58%,northbound,merpeople,2/1396
100%+,northbound,unknown,2/1396
75%,southbound,crabmonsters,2/1396
84%,southbound,water elemental,2/1396
87%,southbound,nessie,2/1396
36%,southbound,pirates,2/1396
20%,southbound,pirates,2/1396
20%,northbound,harpy,2/1396
81%,southbound,water elemental,2/1396
32%,northbound,sharks,2/1396
34%,northbound,sharks,2/1396
21%,northbound,pirates,2/1396
64%,southbound,kraken,2/1396
100%+,southbound,unknown,2/1396
22%,southbound,pirates,2/1396
14%,southbound,harpy,2/1396
16%,southbound,pirates,2/1396
18%,northbound,sharks,2/1396
16%,southbound,pirates,2/1396
81%,southbound,water elemental,2/1396
36%,southbound,pirates,2/1396
100%+,northbound,unknown,2/1396
11%,southbound,pirates,2/1396
80%,northbound,water elemental,2/1396
7%,southbound,pirates,2/1396
18%,southbound,pirates,2/1396
78%,northbound,water elemental,2/1396
51%,southbound,pirates,2/1396
15%,southbound,pirates,2/1396
100%+,northbound,unknown,2/1396
100%+,southbound,unknown,2/1396
14%,southbound,pirates,2/1396
9%,northbound,pirates,2/1396
22%,southbound,pirates,2/1396
56%,northbound,merpeople,2/1396
83%,southbound,water elemental,2/1396
18%,northbound,pirates,2/1396
46%,southbound,merpeople,2/1396
67%,northbound,merpeople,2/1396
100%+,northbound,unknown,2/1396
85%,northbound,water elemental,2/1396
50%,northbound,pirates,2/1396
86%,southbound,nessie,2/1396
31%,northbound,sharks,2/1396
35%,southbound,sharks,2/1396
21%,southbound,pirates,2/1396
58%,northbound,pirates,2/1396
15%,northbound,pirates,2/1396
100%+,southbound,unknown,2/1396
24%,northbound,sharks,2/1396
83%,southbound,water elemental,2/1396
48%,southbound,crabmonsters,2/1396
100%+,northbound,unknown,2/1396
20%,northbound,sharks,2/1396
51%,northbound,kraken,2/1396
32%,southbound,sharks,2/1396
100%+,northbound,unknown,2/1396
100%+,northbound,unknown,2/1396
20%,southbound,pirates,2/1396
39%,southbound,kraken,2/1396
97%,northbound,demon whale,2/1396
24%,southbound,pirates,2/1396
53%,southbound,kraken,2/1396
12%,northbound,pirates,2/1396
33%,southbound,pirates,2/1396
40%,northbound,pirates,2/1396
75%,southbound,water elemental,2/1396
78%,southbound,crabmonsters,2/1396
55%,northbound,merpeople,2/1396
78%,southbound,water elemental,2/1396
26%,southbound,pirates,2/1396
30%,southbound,pirates,2/1396
34%,southbound,sharks,2/1396
64%,southbound,kraken,2/1396
40%,northbound,kraken,2/1396
8%,northbound,harpy,2/1396
20%,northbound,sharks,2/1396
11%,northbound,pirates,2/1396
22%,northbound,pirates,2/1396
79%,northbound,water elemental,2/1396
100%+,northbound,unknown,2/1396
83%,southbound,merpeople,2/1396
100%+,northbound,unknown,2/1396
11%,northbound,harpy,2/1396
45%,southbound,pirates,2/1396
11%,northbound,harpy,2/1396
15%,northbound,sharks,2/1396
100%+,northbound,unknown,2/1396
52%,northbound,merpeople,2/1396
64%,northbound,kraken,2/1396
18%,northbound,pirates,2/1396
51%,southbound,pirates,2/1396
14%,northbound,sharks,2/1396
14%,southbound,harpy,2/1396
15%,southbound,pirates,2/1396
18%,southbound,harpy,2/1396
44%,northbound,merpeople,2/1396
8%,southbound,pirates,2/1396
53%,northbound,crabmonsters,2/1396
100%+,northbound,unknown,2/1396
6%,southbound,harpy,2/1396
87%,northbound,crabmonsters,2/1396
14%,southbound,pirates,2/1396
30%,southbound,crabmonsters,2/1396
100%+,southbound,unknown,2/1396
34%,southbound,pirates,2/1396
21%,southbound,pirates,2/1396
31%,northbound,sharks,2/1396
35%,northbound,pirates,2/1396
19%,southbound,pirates,2/1396
55%,southbound,kraken,3/1396
66%,northbound,kraken,3/1396
17%,southbound,harpy,3/1396
50%,northbound,pirates,3/1396
100%+,northbound,unknown,3/1396
58%,northbound,kraken,3/1396
33%,southbound,sharks,3/1396
78%,southbound,nessie,3/1396
19%,northbound,pirates,3/1396
15%,northbound,harpy,3/1396
96%,northbound,nessie,3/1396
49%,southbound,kraken,3/1396
13%,northbound,pirates,3/1396
17%,northbound,pirates,3/1396
32%,southbound,sharks,3/1396
37%,northbound,pirates,3/1396
100%+,southbound,unknown,3/1396
60%,northbound,pirates,3/1396
77%,northbound,crabmonsters,3/1396
16%,northbound,harpy,3/1396
100%+,southbound,unknown,3/1396
66%,southbound,kraken,3/1396
40%,southbound,merpeople,3/1396
13%,southbound,harpy,3/1396
83%,northbound,water elemental,3/1396
19%,southbound,pirates,3/1396
46%,northbound,kraken,3/1396
82%,southbound,nessie,3/1396
21%,southbound,sharks,3/1396
25%,southbound,sharks,3/1396
12%,southbound,pirates,3/1396
79%,northbound,nessie,3/1396
14%,northbound,sharks,3/1396
82%,southbound,demon whale,3/1396
33%,southbound,pirates,3/1396
38%,northbound,pirates,3/1396
21%,northbound,pirates,3/1396
60%,southbound,kraken,3/1396
55%,southbound,pirates,3/1396
21%,northbound,pirates,3/1396
76%,southbound,water elemental,3/1396
68%,northbound,kraken,3/1396
92%,southbound,nessie,3/1396
21%,northbound,sharks,3/1396
39%,southbound,sharks,3/1396
33%,northbound,pirates,3/1396
23%,southbound,merpeople,3/1396
16%,northbound,sharks,3/1396
40%,southbound,sharks,3/1396
76%,southbound,nessie,3/1396
18%,southbound,harpy,3/1396
82%,southbound,nessie,3/1396
13%,southbound,merpeople,3/1396
87%,northbound,merpeople,3/1396
9%,southbound,pirates,3/1396
100%+,southbound,unknown,3/1396
16%,northbound,pirates,3/1396
17%,southbound,harpy,3/1396
22%,northbound,sharks,3/1396
79%,northbound,water elemental,3/1396
37%,northbound,pirates,3/1396
59%,northbound,merpeople,3/1396
49%,northbound,kraken,3/1396
5%,northbound,crabmonsters,3/1396
100%+,southbound,unknown,3/1396
13%,southbound,pirates,3/1396
14%,northbound,pirates,3/1396
24%,northbound,pirates,3/1396
100%+,northbound,unknown,3/1396
30%,northbound,sharks,3/1396
87%,northbound,nessie,3/1396
13%,southbound,sharks,3/1396
89%,southbound,nessie,3/1396
22%,southbound,crabmonsters,3/1396
12%,northbound,crabmonsters,3/1396
28%,northbound,sharks,3/1396
41%,southbound,pirates,3/1396
100%+,southbound,unknown,3/1396
22%,southbound,pirates,3/1396
100%+,northbound,unknown,3/1396
42%,northbound,pirates,3/1396
19%,southbound,pirates,3/1396
13%,northbound,pirates,3/1396
49%,northbound,kraken,3/1396
77%,southbound,water elemental,3/1396
48%,northbound,pirates,3/1396
37%,southbound,merpeople,3/1396
15%,southbound,crabmonsters,3/1396
100%+,southbound,unknown,3/1396
99%,northbound,demon whale,3/1396
100%+,southbound,unknown,3/1396
100%+,northbound,unknown,3/1396
27%,southbound,pirates,3/1396
47%,northbound,pirates,3/1396
65%,southbound,kraken,3/1396
36%,northbound,pirates,3/1396
13%,northbound,sharks,3/1396
59%,northbound,pirates,3/1396
84%,northbound,nessie,3/1396
27%,northbound,crabmonsters,3/1396
36%,southbound,pirates,3/1396
100%+,southbound,unknown,3/1396
59%,southbound,crabmonsters,3/1396
31%,southbound,merpeople,3/1396
42%,northbound,sharks,3/1396
20%,southbound,sharks,3/1396
7%,southbound,crabmonsters,3/1396
27%,southbound,crabmonsters,3/1396
18%,southbound,pirates,3/1396
83%,southbound,water elemental,3/1396
16%,southbound,pirates,3/1396
44%,northbound,kraken,3/1396
43%,northbound,pirates,3/1396
60%,southbound,kraken,3/1396
16%,southbound,harpy,3/1396
82%,northbound,water elemental,3/1396
30%,southbound,sharks,3/1396
51%,southbound,merpeople,3/1396
29%,southbound,crabmonsters,3/1396
37%,northbound,merpeople,3/1396
84%,southbound,water elemental,3/1396
3%,northbound,crabmonsters,3/1396
26%,northbound,pirates,3/1396
100%+,northbound,unknown,3/1396
7%,southbound,sharks,3/1396
100%+,northbound,unknown,3/1396
29%,northbound,sharks,3/1396
52%,southbound,pirates,3/1396
31%,northbound,sharks,3/1396
100%+,southbound,unknown,3/1396
100%+,southbound,unknown,3/1396
29%,northbound,sharks,3/1396
85%,southbound,water elemental,3/1396
100%+,southbound,unknown,3/1396
28%,southbound,pirates,3/1396
13%,southbound,harpy,3/1396
49%,northbound,pirates,3/1396
36%,northbound,pirates,3/1396
100%+,northbound,unknown,3/1396
100%+,northbound,unknown,3/1396
27%,northbound,pirates,3/1396
28%,southbound,sharks,3/1396
16%,northbound,pirates,3/1396
29%,southbound,pirates,3/1396
50%,southbound,pirates,3/1396
100%+,southbound,unknown,3/1396
82%,northbound,nessie,3/1396
12%,northbound,harpy,3/1396
16%,southbound,pirates,3/1396
100%+,northbound,unknown,3/1396
53%,northbound,kraken,3/1396
20%,southbound,sharks,3/1396
88%,southbound,nessie,3/1396
9%,southbound,pirates,3/1396
31%,southbound,merpeople,3/1396
100%+,southbound,unknown,3/1396
37%,northbound,sharks,3/1396
23%,northbound,pirates,3/1396
51%,southbound,kraken,3/1396
14%,northbound,sharks,3/1396
57%,southbound,merpeople,3/1396
18%,northbound,harpy,3/1396
20%,northbound,pirates,3/1396
20%,northbound,pirates,3/1396
81%,southbound,merpeople,3/1396
19%,southbound,pirates,3/1396
100%+,northbound,unknown,3/1396
19%,northbound,sharks,3/1396
28%,northbound,sharks,3/1396
100%+,southbound,unknown,3/1396
22%,northbound,sharks,3/1396
100%+,southbound,unknown,3/1396
49%,northbound,kraken,3/1396
27%,northbound,pirates,3/1396
19%,southbound,sharks,4/1396
18%,southbound,pirates,4/1396
34%,southbound,pirates,4/1396
66%,northbound,merpeople,4/1396
100%+,northbound,unknown,4/1396
16%,northbound,pirates,4/1396
57%,northbound,kraken,4/1396
79%,southbound,water elemental,4/1396
51%,northbound,kraken,4/1396
69%,southbound,merpeople,4/1396
40%,southbound,merpeople,4/1396
49%,northbound,kraken,4/1396
39%,northbound,kraken,4/1396
14%,northbound,sharks,4/1396
46%,southbound,sharks,4/1396
21%,southbound,sharks,4/1396
32%,southbound,pirates,4/1396
42%,southbound,sharks,4/1396
84%,southbound,nessie,4/1396
74%,southbound,water elemental,4/1396
79%,northbound,water elemental,4/1396
33%,northbound,sharks,4/1396
100%+,southbound,unknown,4/1396
32%,southbound,merpeople,4/1396
22%,southbound,pirates,4/1396
100%+,southbound,unknown,4/1396
8%,southbound,harpy,4/1396
100%+,northbound,unknown,4/1396
17%,southbound,pirates,4/1396
100%+,northbound,unknown,4/1396
13%,southbound,pirates,4/1396
21%,southbound,pirates,4/1396
44%,northbound,kraken,4/1396
32%,northbound,sharks,4/1396
76%,northbound,water elemental,4/1396
55%,northbound,kraken,4/1396
83%,northbound,water elemental,4/1396
100%+,northbound,unknown,4/1396
17%,northbound,harpy,4/1396
67%,northbound,kraken,4/1396
52%,northbound,merpeople,4/1396
21%,southbound,harpy,4/1396
98%,northbound,nessie,4/1396
37%,southbound,crabmonsters,4/1396
100%+,northbound,unknown,4/1396
32%,southbound,crabmonsters,4/1396
23%,southbound,sharks,4/1396
12%,southbound,harpy,4/1396
21%,northbound,harpy,4/1396
38%,northbound,pirates,4/1396
23%,northbound,sharks,4/1396
84%,northbound,water elemental,4/1396
100%+,northbound,unknown,4/1396
38%,southbound,pirates,4/1396
44%,southbound,pirates,4/1396
18%,southbound,pirates,4/1396
36%,southbound,merpeople,4/1396
35%,northbound,pirates,4/1396
43%,northbound,pirates,4/1396
14%,southbound,sharks,4/1396
78%,southbound,merpeople,4/1396
33%,northbound,pirates,4/1396
25%,northbound,sharks,4/1396
100%+,northbound,unknown,4/1396
66%,southbound,merpeople,4/1396
10%,southbound,sharks,4/1396
54%,northbound,kraken,4/1396
28%,northbound,sharks,4/1396
100%+,northbound,unknown,4/1396
77%,northbound,water elemental,4/1396
100%+,northbound,unknown,4/1396
32%,southbound,pirates,4/1396
84%,southbound,water elemental,4/1396
18%,southbound,pirates,4/1396
28%,southbound,pirates,4/1396
20%,northbound,sharks,4/1396
14%,northbound,sharks,4/1396
54%,southbound,pirates,4/1396
7%,southbound,harpy,4/1396
45%,southbound,kraken,4/1396
66%,southbound,kraken,4/1396
46%,northbound,pirates,4/1396
9%,northbound,crabmonsters,4/1396
36%,northbound,pirates,4/1396
15%,southbound,pirates,4/1396
41%,northbound,merpeople,4/1396
28%,southbound,pirates,4/1396
43%,northbound,kraken,4/1396
67%,northbound,merpeople,4/1396
77%,southbound,water elemental,4/1396
17%,southbound,pirates,4/1396
17%,southbound,sharks,4/1396
100%+,northbound,unknown,4/1396
74%,northbound,water elemental,4/1396
46%,southbound,kraken,4/1396
33%,northbound,sharks,4/1396
28%,southbound,pirates,4/1396
50%,southbound,pirates,4/1396
42%,southbound,merpeople,4/1396
18%,southbound,pirates,4/1396
36%,southbound,pirates,4/1396
81%,northbound,water elemental,4/1396
67%,southbound,merpeople,4/1396
15%,southbound,harpy,4/1396
82%,southbound,water elemental,4/1396
75%,northbound,water elemental,4/1396
87%,northbound,nessie,4/1396
32%,southbound,sharks,4/1396
19%,southbound,harpy,4/1396
27%,southbound,merpeople,4/1396
36%,northbound,merpeople,4/1396
11%,southbound,pirates,4/1396
45%,southbound,merpeople,4/1396
100%+,southbound,unknown,4/1396
85%,southbound,water elemental,4/1396
55%,northbound,pirates,4/1396
49%,northbound,kraken,4/1396
17%,northbound,harpy,4/1396
14%,northbound,harpy,4/1396
100%+,northbound,unknown,4/1396
50%,southbound,pirates,4/1396
30%,northbound,pirates,4/1396
43%,northbound,merpeople,4/1396
21%,southbound,sharks,4/1396
23%,northbound,pirates,4/1396
34%,northbound,pirates,4/1396
21%,southbound,pirates,4/1396
43%,southbound,merpeople,4/1396
27%,northbound,pirates,4/1396
86%,northbound,crabmonsters,4/1396
22%,southbound,sharks,4/1396
8%,northbound,sharks,4/1396
100%+,southbound,unknown,4/1396
56%,southbound,kraken,4/1396
93%,northbound,demon whale,4/1396
75%,northbound,water elemental,4/1396
32%,southbound,pirates,4/1396
75%,northbound,crabmonsters,4/1396
25%,northbound,sharks,4/1396
93%,northbound,nessie,4/1396
100%+,southbound,unknown,4/1396
12%,southbound,pirates,4/1396
36%,southbound,merpeople,4/1396
22%,southbound,pirates,4/1396
82%,southbound,water elemental,4/1396
56%,southbound,merpeople,4/1396
43%,southbound,pirates,4/1396
40%,southbound,sharks,4/1396
85%,northbound,nessie,4/1396
50%,southbound,kraken,4/1396
12%,northbound,pirates,4/1396
15%,southbound,pirates,4/1396
83%,southbound,water elemental,4/1396
100%+,southbound,unknown,4/1396
15%,northbound,sharks,4/1396
91%,southbound,demon whale,4/1396
15%,northbound,merpeople,4/1396
17%,northbound,pirates,4/1396
29%,northbound,pirates,4/1396
44%,southbound,kraken,4/1396
37%,northbound,sharks,4/1396
18%,northbound,sharks,4/1396
100%+,southbound,unknown,4/1396
65%,southbound,merpeople,4/1396
25%,northbound,pirates,4/1396
100%+,northbound,unknown,4/1396
36%,southbound,pirates,4/1396
12%,northbound,pirates,4/1396
28%,northbound,pirates,4/1396
23%,southbound,sharks,4/1396
28%,southbound,sharks,4/1396
80%,northbound,nessie,4/1396
31%,northbound,sharks,4/1396
85%,northbound,nessie,4/1396
19%,northbound,harpy,4/1396
54%,southbound,crabmonsters,4/1396
32%,northbound,sharks,4/1396
12%,southbound,harpy,4/1396
94%,northbound,demon whale,5/1396
13%,northbound,pirates,5/1396
27%,southbound,merpeople,5/1396
91%,southbound,nessie,5/1396
100%+,southbound,unknown,5/1396
13%,northbound,pirates,5/1396
18%,northbound,crabmonsters,5/1396
86%,southbound,nessie,5/1396
21%,northbound,harpy,5/1396
29%,northbound,pirates,5/1396
16%,northbound,pirates,5/1396
9%,northbound,harpy,5/1396
29%,northbound,pirates,5/1396
45%,northbound,merpeople,5/1396
18%,southbound,sharks,5/1396
27%,northbound,sharks,5/1396
97%,northbound,nessie,5/1396
15%,northbound,merpeople,5/1396
38%,northbound,merpeople,5/1396
100%+,northbound,unknown,5/1396
78%,southbound,water elemental,5/1396
81%,northbound,water elemental,5/1396
14%,northbound,sharks,5/1396
45%,northbound,kraken,5/1396
100%+,southbound,unknown,5/1396
16%,southbound,pirates,5/1396
27%,southbound,crabmonsters,5/1396
100%+,southbound,unknown,5/1396
86%,southbound,nessie,5/1396
48%,northbound,kraken,5/1396
100%+,northbound,unknown,5/1396
38%,southbound,pirates,5/1396
21%,northbound,merpeople,5/1396
100%+,northbound,unknown,5/1396
82%,southbound,water elemental,5/1396
29%,southbound,pirates,5/1396
21%,southbound,harpy,5/1396
76%,northbound,water elemental,5/1396
95%,southbound,demon whale,5/1396
38%,northbound,sharks,5/1396
53%,southbound,kraken,5/1396
55%,southbound,pirates,5/1396
74%,northbound,nessie,5/1396
49%,northbound,kraken,5/1396
100%+,northbound,unknown,5/1396
21%,northbound,pirates,5/1396
65%,southbound,crabmonsters,5/1396
32%,northbound,pirates,5/1396
14%,northbound,pirates,5/1396
72%,southbound,nessie,5/1396
100%+,northbound,unknown,5/1396
27%,southbound,merpeople,5/1396
75%,southbound,water elemental,5/1396
74%,southbound,water elemental,5/1396
37%,northbound,pirates,5/1396
100%+,northbound,unknown,5/1396
100%+,southbound,unknown,5/1396
45%,northbound,kraken,5/1396
78%,southbound,water elemental,5/1396
62%,northbound,kraken,5/1396
14%,northbound,pirates,5/1396
15%,northbound,sharks,5/1396
21%,northbound,pirates,5/1396
100%+,southbound,unknown,5/1396
15%,southbound,sharks,5/1396
66%,southbound,merpeople,5/1396
100%+,southbound,unknown,5/1396
20%,southbound,pirates,5/1396
7%,southbound,pirates,5/1396
12%,northbound,harpy,5/1396
17%,southbound,pirates,5/1396
25%,northbound,pirates,5/1396
47%,southbound,pirates,5/1396
15%,northbound,harpy,5/1396
58%,northbound,merpeople,5/1396
13%,northbound,sharks,5/1396
16%,southbound,pirates,5/1396
49%,southbound,kraken,5/1396
34%,northbound,sharks,5/1396
74%,southbound,water elemental,5/1396
18%,southbound,pirates,5/1396
27%,northbound,pirates,5/1396
13%,southbound,pirates,5/1396
100%+,southbound,unknown,5/1396
100%+,northbound,unknown,5/1396
48%,northbound,kraken,5/1396
80%,northbound,nessie,5/1396
21%,northbound,crabmonsters,5/1396
84%,southbound,nessie,5/1396
56%,northbound,merpeople,5/1396
81%,northbound,nessie,5/1396
17%,southbound,sharks,5/1396
48%,northbound,kraken,5/1396
18%,southbound,sharks,5/1396
6%,northbound,crabmonsters,5/1396
34%,northbound,crabmonsters,5/1396
23%,southbound,sharks,5/1396
14%,southbound,pirates,5/1396
13%,southbound,merpeople,5/1396
18%,southbound,pirates,5/1396
100%+,southbound,unknown,5/1396
58%,southbound,kraken,5/1396
13%,southbound,pirates,5/1396
43%,southbound,pirates,5/1396
67%,northbound,crabmonsters,5/1396
15%,southbound,harpy,5/1396
28%,southbound,sharks,5/1396
100%+,southbound,unknown,5/1396
40%,northbound,pirates,5/1396
16%,northbound,pirates,5/1396
13%,southbound,harpy,5/1396
33%,southbound,crabmonsters,5/1396
55%,northbound,pirates,5/1396
9%,northbound,harpy,5/1396
76%,southbound,crabmonsters,5/1396
60%,northbound,kraken,5/1396
24%,southbound,sharks,5/1396
34%,southbound,pirates,5/1396
62%,southbound,merpeople,5/1396
50%,northbound,kraken,5/1396
100%+,southbound,unknown,5/1396
80%,southbound,demon whale,5/1396
100%+,northbound,unknown,5/1396
13%,northbound,pirates,5/1396
26%,northbound,merpeople,5/1396
16%,northbound,pirates,5/1396
41%,northbound,pirates,5/1396
50%,southbound,pirates,5/1396
100%+,northbound,unknown,5/1396
56%,southbound,kraken,5/1396
21%,southbound,pirates,5/1396
76%,southbound,nessie,5/1396
63%,southbound,kraken,5/1396
19%,southbound,pirates,5/1396
