dam,dir,encounter,m,y
28,s,sharks,1,1396
57,n,kraken,1,1396
84,n,crabmonsters,1,1396
25,s,pirates,1,1396
100,s,unknown,1,1396
18,s,pirates,1,1396
84,s,water elemental,1,1396
13,s,pirates,1,1396
37,n,sharks,1,1396
51,n,kraken,1,1396
22,n,sharks,1,1396
29,n,sharks,1,1396
83,s,water elemental,1,1396
51,s,kraken,1,1396
53,n,kraken,1,1396
100,n,unknown,1,1396
19,n,pirates,1,1396
12,s,harpy,1,1396
56,n,kraken,1,1396
36,s,pirates,1,1396
12,s,crabmonsters,1,1396
31,s,sharks,1,1396
23,n,sharks,1,1396
65,n,kraken,1,1396
26,s,crabmonsters,1,1396
58,s,merpeople,1,1396
81,n,crabmonsters,1,1396
39,n,pirates,1,1396
55,n,kraken,1,1396
18,n,pirates,1,1396
32,s,merpeople,1,1396
16,s,pirates,1,1396
86,n,nessie,1,1396
100,n,unknown,1,1396
35,s,merpeople,1,1396
78,n,water elemental,1,1396
42,s,pirates,1,1396
20,n,pirates,1,1396
94,s,nessie,1,1396
83,n,water elemental,1,1396
42,n,pirates,1,1396
42,n,pirates,1,1396
82,n,merpeople,1,1396
33,s,pirates,1,1396
21,n,pirates,1,1396
49,n,pirates,1,1396
73,s,merpeople,1,1396
57,n,kraken,1,1396
13,n,pirates,1,1396
35,n,pirates,1,1396
18,s,sharks,1,1396
76,s,water elemental,1,1396
17,s,pirates,1,1396
66,s,merpeople,1,1396
10,s,harpy,1,1396
100,s,unknown,1,1396
63,n,crabmonsters,1,1396
76,s,water elemental,1,1396
100,s,unknown,1,1396
9,n,harpy,1,1396
37,n,pirates,1,1396
44,s,pirates,1,1396
65,n,kraken,1,1396
43,s,merpeople,1,1396
32,n,sharks,1,1396
48,s,pirates,1,1396
46,n,pirates,1,1396
12,n,sharks,1,1396
100,s,unknown,1,1396
51,s,merpeople,1,1396
28,s,sharks,1,1396
39,s,pirates,1,1396
97,s,demon whale,1,1396
42,s,merpeople,1,1396
16,n,sharks,1,1396
48,n,merpeople,1,1396
20,n,sharks,1,1396
100,s,unknown,1,1396
46,s,pirates,1,1396
15,n,harpy,1,1396
11,n,pirates,1,1396
13,s,pirates,1,1396
100,n,unknown,1,1396
100,n,unknown,1,1396
50,s,pirates,2,1396
59,n,merpeople,2,1396
85,n,nessie,2,1396
19,n,pirates,2,1396
17,n,pirates,2,1396
100,n,unknown,2,1396
74,n,water elemental,2,1396
47,s,pirates,2,1396
54,s,crabmonsters,2,1396
13,n,sharks,2,1396
83,n,crabmonsters,2,1396
100,n,unknown,2,1396
18,n,sharks,2,1396
47,s,kraken,2,1396
23,s,sharks,2,1396
49,n,pirates,2,1396
26,s,sharks,2,1396
24,s,sharks,2,1396
29,n,sharks,2,1396
29,n,pirates,2,1396
81,n,water elemental,2,1396
87,n,nessie,2,1396
18,n,sharks,2,1396
62,s,kraken,2,1396
77,s,water elemental,2,1396
22,n,crabmonsters,2,1396
26,n,pirates,2,1396
30,n,pirates,2,1396
39,s,sharks,2,1396
30,n,sharks,2,1396
42,s,pirates,2,1396
57,s,pirates,2,1396
97,n,merpeople,2,1396
39,n,kraken,2,1396
26,n,pirates,2,1396
48,n,kraken,2,1396
79,n,water elemental,2,1396
38,s,sharks,2,1396
74,n,merpeople,2,1396
33,n,sharks,2,1396
10,n,harpy,2,1396
79,s,water elemental,2,1396
23,s,sharks,2,1396
26,s,merpeople,2,1396
82,n,water elemental,2,1396
41,s,pirates,2,1396
34,n,pirates,2,1396
23,n,sharks,2,1396
61,n,kraken,2,1396
100,n,unknown,2,1396
45,s,pirates,2,1396
46,s,pirates,2,1396
100,s,unknown,2,1396
18,n,pirates,2,1396
17,n,harpy,2,1396
97,s,nessie,2,1396
81,n,merpeople,2,1396
79,s,nessie,2,1396
100,s,unknown,2,1396
18,n,pirates,2,1396
49,s,pirates,2,1396
17,s,pirates,2,1396
31,s,sharks,2,1396
17,s,pirates,2,1396
78,n,water elemental,2,1396
58,n,merpeople,2,1396
100,n,unknown,2,1396
75,s,crabmonsters,2,1396
84,s,water elemental,2,1396
87,s,nessie,2,1396
36,s,pirates,2,1396
20,s,pirates,2,1396
20,n,harpy,2,1396
81,s,water elemental,2,1396
32,n,sharks,2,1396
34,n,sharks,2,1396
21,n,pirates,2,1396
64,s,kraken,2,1396
100,s,unknown,2,1396
22,s,pirates,2,1396
14,s,harpy,2,1396
16,s,pirates,2,1396
18,n,sharks,2,1396
16,s,pirates,2,1396
81,s,water elemental,2,1396
36,s,pirates,2,1396
100,n,unknown,2,1396
11,s,pirates,2,1396
80,n,water elemental,2,1396
7,s,pirates,2,1396
18,s,pirates,2,1396
78,n,water elemental,2,1396
51,s,pirates,2,1396
15,s,pirates,2,1396
100,n,unknown,2,1396
100,s,unknown,2,1396
14,s,pirates,2,1396
9,n,pirates,2,1396
22,s,pirates,2,1396
56,n,merpeople,2,1396
83,s,water elemental,2,1396
18,n,pirates,2,1396
46,s,merpeople,2,1396
67,n,merpeople,2,1396
100,n,unknown,2,1396
85,n,water elemental,2,1396
50,n,pirates,2,1396
86,s,nessie,2,1396
31,n,sharks,2,1396
35,s,sharks,2,1396
21,s,pirates,2,1396
58,n,pirates,2,1396
15,n,pirates,2,1396
100,s,unknown,2,1396
24,n,sharks,2,1396
83,s,water elemental,2,1396
48,s,crabmonsters,2,1396
100,n,unknown,2,1396
20,n,sharks,2,1396
51,n,kraken,2,1396
32,s,sharks,2,1396
100,n,unknown,2,1396
100,n,unknown,2,1396
20,s,pirates,2,1396
39,s,kraken,2,1396
97,n,demon whale,2,1396
24,s,pirates,2,1396
53,s,kraken,2,1396
12,n,pirates,2,1396
33,s,pirates,2,1396
40,n,pirates,2,1396
75,s,water elemental,2,1396
78,s,crabmonsters,2,1396
55,n,merpeople,2,1396
78,s,water elemental,2,1396
26,s,pirates,2,1396
30,s,pirates,2,1396
34,s,sharks,2,1396
64,s,kraken,2,1396
40,n,kraken,2,1396
8,n,harpy,2,1396
20,n,sharks,2,1396
11,n,pirates,2,1396
22,n,pirates,2,1396
79,n,water elemental,2,1396
100,n,unknown,2,1396
83,s,merpeople,2,1396
100,n,unknown,2,1396
11,n,harpy,2,1396
45,s,pirates,2,1396
11,n,harpy,2,1396
15,n,sharks,2,1396
100,n,unknown,2,1396
52,n,merpeople,2,1396
64,n,kraken,2,1396
18,n,pirates,2,1396
51,s,pirates,2,1396
14,n,sharks,2,1396
14,s,harpy,2,1396
15,s,pirates,2,1396
18,s,harpy,2,1396
44,n,merpeople,2,1396
8,s,pirates,2,1396
53,n,crabmonsters,2,1396
100,n,unknown,2,1396
6,s,harpy,2,1396
87,n,crabmonsters,2,1396
14,s,pirates,2,1396
30,s,crabmonsters,2,1396
100,s,unknown,2,1396
34,s,pirates,2,1396
21,s,pirates,2,1396
31,n,sharks,2,1396
35,n,pirates,2,1396
19,s,pirates,2,1396
55,s,kraken,3,1396
66,n,kraken,3,1396
17,s,harpy,3,1396
50,n,pirates,3,1396
100,n,unknown,3,1396
58,n,kraken,3,1396
33,s,sharks,3,1396
78,s,nessie,3,1396
19,n,pirates,3,1396
15,n,harpy,3,1396
96,n,nessie,3,1396
49,s,kraken,3,1396
13,n,pirates,3,1396
17,n,pirates,3,1396
32,s,sharks,3,1396
37,n,pirates,3,1396
100,s,unknown,3,1396
60,n,pirates,3,1396
77,n,crabmonsters,3,1396
16,n,harpy,3,1396
100,s,unknown,3,1396
66,s,kraken,3,1396
40,s,merpeople,3,1396
13,s,harpy,3,1396
83,n,water elemental,3,1396
19,s,pirates,3,1396
46,n,kraken,3,1396
82,s,nessie,3,1396
21,s,sharks,3,1396
25,s,sharks,3,1396
12,s,pirates,3,1396
79,n,nessie,3,1396
14,n,sharks,3,1396
82,s,demon whale,3,1396
33,s,pirates,3,1396
38,n,pirates,3,1396
21,n,pirates,3,1396
60,s,kraken,3,1396
55,s,pirates,3,1396
21,n,pirates,3,1396
76,s,water elemental,3,1396
68,n,kraken,3,1396
92,s,nessie,3,1396
21,n,sharks,3,1396
39,s,sharks,3,1396
33,n,pirates,3,1396
23,s,merpeople,3,1396
16,n,sharks,3,1396
40,s,sharks,3,1396
76,s,nessie,3,1396
18,s,harpy,3,1396
82,s,nessie,3,1396
13,s,merpeople,3,1396
87,n,merpeople,3,1396
9,s,pirates,3,1396
100,s,unknown,3,1396
16,n,pirates,3,1396
17,s,harpy,3,1396
22,n,sharks,3,1396
79,n,water elemental,3,1396
37,n,pirates,3,1396
59,n,merpeople,3,1396
49,n,kraken,3,1396
5,n,crabmonsters,3,1396
100,s,unknown,3,1396
13,s,pirates,3,1396
14,n,pirates,3,1396
24,n,pirates,3,1396
100,n,unknown,3,1396
30,n,sharks,3,1396
87,n,nessie,3,1396
13,s,sharks,3,1396
89,s,nessie,3,1396
22,s,crabmonsters,3,1396
12,n,crabmonsters,3,1396
28,n,sharks,3,1396
41,s,pirates,3,1396
100,s,unknown,3,1396
22,s,pirates,3,1396
100,n,unknown,3,1396
42,n,pirates,3,1396
19,s,pirates,3,1396
13,n,pirates,3,1396
49,n,kraken,3,1396
77,s,water elemental,3,1396
48,n,pirates,3,1396
37,s,merpeople,3,1396
15,s,crabmonsters,3,1396
100,s,unknown,3,1396
99,n,demon whale,3,1396
100,s,unknown,3,1396
100,n,unknown,3,1396
27,s,pirates,3,1396
47,n,pirates,3,1396
65,s,kraken,3,1396
36,n,pirates,3,1396
13,n,sharks,3,1396
59,n,pirates,3,1396
84,n,nessie,3,1396
27,n,crabmonsters,3,1396
36,s,pirates,3,1396
100,s,unknown,3,1396
59,s,crabmonsters,3,1396
31,s,merpeople,3,1396
42,n,sharks,3,1396
20,s,sharks,3,1396
7,s,crabmonsters,3,1396
27,s,crabmonsters,3,1396
18,s,pirates,3,1396
83,s,water elemental,3,1396
16,s,pirates,3,1396
44,n,kraken,3,1396
43,n,pirates,3,1396
60,s,kraken,3,1396
16,s,harpy,3,1396
82,n,water elemental,3,1396
30,s,sharks,3,1396
51,s,merpeople,3,1396
29,s,crabmonsters,3,1396
37,n,merpeople,3,1396
84,s,water elemental,3,1396
3,n,crabmonsters,3,1396
26,n,pirates,3,1396
100,n,unknown,3,1396
7,s,sharks,3,1396
100,n,unknown,3,1396
29,n,sharks,3,1396
52,s,pirates,3,1396
31,n,sharks,3,1396
100,s,unknown,3,1396
100,s,unknown,3,1396
29,n,sharks,3,1396
85,s,water elemental,3,1396
100,s,unknown,3,1396
28,s,pirates,3,1396
13,s,harpy,3,1396
49,n,pirates,3,1396
36,n,pirates,3,1396
100,n,unknown,3,1396
100,n,unknown,3,1396
27,n,pirates,3,1396
28,s,sharks,3,1396
16,n,pirates,3,1396
29,s,pirates,3,1396
50,s,pirates,3,1396
100,s,unknown,3,1396
82,n,nessie,3,1396
12,n,harpy,3,1396
16,s,pirates,3,1396
100,n,unknown,3,1396
53,n,kraken,3,1396
20,s,sharks,3,1396
88,s,nessie,3,1396
9,s,pirates,3,1396
31,s,merpeople,3,1396
100,s,unknown,3,1396
37,n,sharks,3,1396
23,n,pirates,3,1396
51,s,kraken,3,1396
14,n,sharks,3,1396
57,s,merpeople,3,1396
18,n,harpy,3,1396
20,n,pirates,3,1396
20,n,pirates,3,1396
81,s,merpeople,3,1396
19,s,pirates,3,1396
100,n,unknown,3,1396
19,n,sharks,3,1396
28,n,sharks,3,1396
100,s,unknown,3,1396
22,n,sharks,3,1396
100,s,unknown,3,1396
49,n,kraken,3,1396
27,n,pirates,3,1396
19,s,sharks,4,1396
18,s,pirates,4,1396
34,s,pirates,4,1396
66,n,merpeople,4,1396
100,n,unknown,4,1396
16,n,pirates,4,1396
57,n,kraken,4,1396
79,s,water elemental,4,1396
51,n,kraken,4,1396
69,s,merpeople,4,1396
40,s,merpeople,4,1396
49,n,kraken,4,1396
39,n,kraken,4,1396
14,n,sharks,4,1396
46,s,sharks,4,1396
21,s,sharks,4,1396
32,s,pirates,4,1396
42,s,sharks,4,1396
84,s,nessie,4,1396
74,s,water elemental,4,1396
79,n,water elemental,4,1396
33,n,sharks,4,1396
100,s,unknown,4,1396
32,s,merpeople,4,1396
22,s,pirates,4,1396
100,s,unknown,4,1396
8,s,harpy,4,1396
100,n,unknown,4,1396
17,s,pirates,4,1396
100,n,unknown,4,1396
13,s,pirates,4,1396
21,s,pirates,4,1396
44,n,kraken,4,1396
32,n,sharks,4,1396
76,n,water elemental,4,1396
55,n,kraken,4,1396
83,n,water elemental,4,1396
100,n,unknown,4,1396
17,n,harpy,4,1396
67,n,kraken,4,1396
52,n,merpeople,4,1396
21,s,harpy,4,1396
98,n,nessie,4,1396
37,s,crabmonsters,4,1396
100,n,unknown,4,1396
32,s,crabmonsters,4,1396
23,s,sharks,4,1396
12,s,harpy,4,1396
21,n,harpy,4,1396
38,n,pirates,4,1396
23,n,sharks,4,1396
84,n,water elemental,4,1396
100,n,unknown,4,1396
38,s,pirates,4,1396
44,s,pirates,4,1396
18,s,pirates,4,1396
36,s,merpeople,4,1396
35,n,pirates,4,1396
43,n,pirates,4,1396
14,s,sharks,4,1396
78,s,merpeople,4,1396
33,n,pirates,4,1396
25,n,sharks,4,1396
100,n,unknown,4,1396
66,s,merpeople,4,1396
10,s,sharks,4,1396
54,n,kraken,4,1396
28,n,sharks,4,1396
100,n,unknown,4,1396
77,n,water elemental,4,1396
100,n,unknown,4,1396
32,s,pirates,4,1396
84,s,water elemental,4,1396
18,s,pirates,4,1396
28,s,pirates,4,1396
20,n,sharks,4,1396
14,n,sharks,4,1396
54,s,pirates,4,1396
7,s,harpy,4,1396
45,s,kraken,4,1396
66,s,kraken,4,1396
46,n,pirates,4,1396
9,n,crabmonsters,4,1396
36,n,pirates,4,1396
15,s,pirates,4,1396
41,n,merpeople,4,1396
28,s,pirates,4,1396
43,n,kraken,4,1396
67,n,merpeople,4,1396
77,s,water elemental,4,1396
17,s,pirates,4,1396
17,s,sharks,4,1396
100,n,unknown,4,1396
74,n,water elemental,4,1396
46,s,kraken,4,1396
33,n,sharks,4,1396
28,s,pirates,4,1396
50,s,pirates,4,1396
42,s,merpeople,4,1396
18,s,pirates,4,1396
36,s,pirates,4,1396
81,n,water elemental,4,1396
67,s,merpeople,4,1396
15,s,harpy,4,1396
82,s,water elemental,4,1396
75,n,water elemental,4,1396
87,n,nessie,4,1396
32,s,sharks,4,1396
19,s,harpy,4,1396
27,s,merpeople,4,1396
36,n,merpeople,4,1396
11,s,pirates,4,1396
45,s,merpeople,4,1396
100,s,unknown,4,1396
85,s,water elemental,4,1396
55,n,pirates,4,1396
49,n,kraken,4,1396
17,n,harpy,4,1396
14,n,harpy,4,1396
100,n,unknown,4,1396
50,s,pirates,4,1396
30,n,pirates,4,1396
43,n,merpeople,4,1396
21,s,sharks,4,1396
23,n,pirates,4,1396
34,n,pirates,4,1396
21,s,pirates,4,1396
43,s,merpeople,4,1396
27,n,pirates,4,1396
86,n,crabmonsters,4,1396
22,s,sharks,4,1396
8,n,sharks,4,1396
100,s,unknown,4,1396
56,s,kraken,4,1396
93,n,demon whale,4,1396
75,n,water elemental,4,1396
32,s,pirates,4,1396
75,n,crabmonsters,4,1396
25,n,sharks,4,1396
93,n,nessie,4,1396
100,s,unknown,4,1396
12,s,pirates,4,1396
36,s,merpeople,4,1396
22,s,pirates,4,1396
82,s,water elemental,4,1396
56,s,merpeople,4,1396
43,s,pirates,4,1396
40,s,sharks,4,1396
85,n,nessie,4,1396
50,s,kraken,4,1396
12,n,pirates,4,1396
15,s,pirates,4,1396
83,s,water elemental,4,1396
100,s,unknown,4,1396
15,n,sharks,4,1396
91,s,demon whale,4,1396
15,n,merpeople,4,1396
17,n,pirates,4,1396
29,n,pirates,4,1396
44,s,kraken,4,1396
37,n,sharks,4,1396
18,n,sharks,4,1396
100,s,unknown,4,1396
65,s,merpeople,4,1396
25,n,pirates,4,1396
100,n,unknown,4,1396
36,s,pirates,4,1396
12,n,pirates,4,1396
28,n,pirates,4,1396
23,s,sharks,4,1396
28,s,sharks,4,1396
80,n,nessie,4,1396
31,n,sharks,4,1396
85,n,nessie,4,1396
19,n,harpy,4,1396
54,s,crabmonsters,4,1396
32,n,sharks,4,1396
12,s,harpy,4,1396
94,n,demon whale,5,1396
13,n,pirates,5,1396
27,s,merpeople,5,1396
91,s,nessie,5,1396
100,s,unknown,5,1396
13,n,pirates,5,1396
18,n,crabmonsters,5,1396
86,s,nessie,5,1396
21,n,harpy,5,1396
29,n,pirates,5,1396
16,n,pirates,5,1396
9,n,harpy,5,1396
29,n,pirates,5,1396
45,n,merpeople,5,1396
18,s,sharks,5,1396
27,n,sharks,5,1396
97,n,nessie,5,1396
15,n,merpeople,5,1396
38,n,merpeople,5,1396
100,n,unknown,5,1396
78,s,water elemental,5,1396
81,n,water elemental,5,1396
14,n,sharks,5,1396
45,n,kraken,5,1396
100,s,unknown,5,1396
16,s,pirates,5,1396
27,s,crabmonsters,5,1396
100,s,unknown,5,1396
86,s,nessie,5,1396
48,n,kraken,5,1396
100,n,unknown,5,1396
38,s,pirates,5,1396
21,n,merpeople,5,1396
100,n,unknown,5,1396
82,s,water elemental,5,1396
29,s,pirates,5,1396
21,s,harpy,5,1396
76,n,water elemental,5,1396
95,s,demon whale,5,1396
38,n,sharks,5,1396
53,s,kraken,5,1396
55,s,pirates,5,1396
74,n,nessie,5,1396
49,n,kraken,5,1396
100,n,unknown,5,1396
21,n,pirates,5,1396
65,s,crabmonsters,5,1396
32,n,pirates,5,1396
14,n,pirates,5,1396
72,s,nessie,5,1396
100,n,unknown,5,1396
27,s,merpeople,5,1396
75,s,water elemental,5,1396
74,s,water elemental,5,1396
37,n,pirates,5,1396
100,n,unknown,5,1396
100,s,unknown,5,1396
45,n,kraken,5,1396
78,s,water elemental,5,1396
62,n,kraken,5,1396
14,n,pirates,5,1396
15,n,sharks,5,1396
21,n,pirates,5,1396
100,s,unknown,5,1396
15,s,sharks,5,1396
66,s,merpeople,5,1396
100,s,unknown,5,1396
20,s,pirates,5,1396
7,s,pirates,5,1396
12,n,harpy,5,1396
17,s,pirates,5,1396
25,n,pirates,5,1396
47,s,pirates,5,1396
15,n,harpy,5,1396
58,n,merpeople,5,1396
13,n,sharks,5,1396
16,s,pirates,5,1396
49,s,kraken,5,1396
34,n,sharks,5,1396
74,s,water elemental,5,1396
18,s,pirates,5,1396
27,n,pirates,5,1396
13,s,pirates,5,1396
100,s,unknown,5,1396
100,n,unknown,5,1396
48,n,kraken,5,1396
80,n,nessie,5,1396
21,n,crabmonsters,5,1396
84,s,nessie,5,1396
56,n,merpeople,5,1396
81,n,nessie,5,1396
17,s,sharks,5,1396
48,n,kraken,5,1396
18,s,sharks,5,1396
6,n,crabmonsters,5,1396
34,n,crabmonsters,5,1396
23,s,sharks,5,1396
14,s,pirates,5,1396
13,s,merpeople,5,1396
18,s,pirates,5,1396
100,s,unknown,5,1396
58,s,kraken,5,1396
13,s,pirates,5,1396
43,s,pirates,5,1396
67,n,crabmonsters,5,1396
15,s,harpy,5,1396
28,s,sharks,5,1396
100,s,unknown,5,1396
40,n,pirates,5,1396
16,n,pirates,5,1396
13,s,harpy,5,1396
33,s,crabmonsters,5,1396
55,n,pirates,5,1396
9,n,harpy,5,1396
76,s,crabmonsters,5,1396
60,n,kraken,5,1396
24,s,sharks,5,1396
34,s,pirates,5,1396
62,s,merpeople,5,1396
50,n,kraken,5,1396
100,s,unknown,5,1396
80,s,demon whale,5,1396
100,n,unknown,5,1396
13,n,pirates,5,1396
26,n,merpeople,5,1396
16,n,pirates,5,1396
41,n,pirates,5,1396
50,s,pirates,5,1396
100,n,unknown,5,1396
56,s,kraken,5,1396
21,s,pirates,5,1396
76,s,nessie,5,1396
63,s,kraken,5,1396
19,s,pirates,5,1396
16,s,harpy,5,1396
32,s,sharks,5,1396
19,s,pirates,5,1396
73,s,merpeople,5,1396
26,s,sharks,5,1396
60,n,kraken,5,1396
54,s,merpeople,5,1396
100,n,unknown,5,1396
45,s,merpeople,5,1396
47,s,kraken,5,1396
21,s,sharks,5,1396
38,s,sharks,5,1396
70,n,merpeople,5,1396
84,s,demon whale,5,1396
35,n,sharks,5,1396
45,n,kraken,5,1396
38,n,pirates,5,1396
22,n,sharks,5,1396
37,n,pirates,5,1396
13,s,harpy,5,1396
61,s,kraken,5,1396
76,s,water elemental,5,1396
51,s,pirates,5,1396
100,s,unknown,5,1396
26,n,sharks,5,1396
76,n,demon whale,5,1396
80,s,water elemental,5,1396
31,s,pirates,5,1396
52,s,kraken,5,1396
53,n,merpeople,5,1396
33,s,sharks,5,1396
25,n,sharks,5,1396
100,n,unknown,5,1396
29,n,pirates,5,1396
63,n,merpeople,5,1396
26,n,sharks,5,1396
54,s,kraken,5,1396
19,s,pirates,5,1396
100,s,unknown,5,1396
100,s,unknown,5,1396
79,s,water elemental,5,1396
34,s,pirates,5,1396
77,s,nessie,5,1396
19,s,sharks,5,1396
38,s,merpeople,5,1396
23,s,pirates,5,1396
100,n,unknown,5,1396
33,s,pirates,5,1396
85,n,water elemental,5,1396
26,n,pirates,6,1396
100,s,unknown,6,1396
30,n,sharks,6,1396
60,n,kraken,6,1396
36,n,kraken,6,1396
24,s,pirates,6,1396
23,n,sharks,6,1396
17,s,sharks,6,1396
27,n,pirates,6,1396
16,s,harpy,6,1396
85,s,nessie,6,1396
42,n,pirates,6,1396
13,n,pirates,6,1396
28,n,pirates,6,1396
58,n,kraken,6,1396
10,s,harpy,6,1396
35,n,pirates,6,1396
43,s,kraken,6,1396
22,s,sharks,6,1396
49,s,crabmonsters,6,1396
17,n,pirates,6,1396
13,n,sharks,6,1396
77,s,crabmonsters,6,1396
16,n,pirates,6,1396
49,s,merpeople,6,1396
18,n,pirates,6,1396
51,n,merpeople,6,1396
44,n,pirates,6,1396
33,n,pirates,6,1396
31,n,sharks,6,1396
57,n,merpeople,6,1396
63,n,kraken,6,1396
34,s,sharks,6,1396
33,s,merpeople,6,1396
19,s,pirates,6,1396
28,n,sharks,6,1396
12,n,harpy,6,1396
68,s,merpeople,6,1396
30,n,pirates,6,1396
24,s,pirates,6,1396
48,n,kraken,6,1396
19,s,harpy,6,1396
80,n,water elemental,6,1396
41,s,sharks,6,1396
97,s,nessie,6,1396
34,s,pirates,6,1396
18,s,pirates,6,1396
46,s,pirates,6,1396
38,s,pirates,6,1396
83,n,demon whale,6,1396
46,s,merpeople,6,1396
26,n,sharks,6,1396
39,n,pirates,6,1396
40,n,pirates,6,1396
20,s,pirates,6,1396
21,n,sharks,6,1396
94,n,demon whale,6,1396
21,n,harpy,6,1396
19,n,pirates,6,1396
15,s,pirates,6,1396
38,s,pirates,6,1396
48,s,merpeople,6,1396
82,s,water elemental,6,1396
19,s,pirates,6,1396
100,n,unknown,6,1396
100,n,unknown,6,1396
74,s,water elemental,6,1396
10,n,pirates,6,1396
68,n,kraken,6,1396
17,s,harpy,6,1396
100,n,unknown,6,1396
100,n,unknown,6,1396
30,n,sharks,6,1396
18,s,sharks,6,1396
41,s,pirates,6,1396
44,n,merpeople,6,1396
38,n,pirates,6,1396
11,s,sharks,6,1396
21,s,sharks,6,1396
100,s,unknown,6,1396
60,n,merpeople,6,1396
39,n,merpeople,6,1396
53,n,merpeople,6,1396
19,n,pirates,6,1396
36,n,pirates,6,1396
81,s,water elemental,6,1396
35,n,sharks,6,1396
32,s,sharks,6,1396
67,n,merpeople,6,1396
24,s,sharks,6,1396
84,n,water elemental,6,1396
9,s,pirates,6,1396
15,s,pirates,6,1396
84,s,nessie,6,1396
14,n,pirates,6,1396
100,s,unknown,6,1396
53,s,pirates,6,1396
29,s,merpeople,6,1396
48,n,pirates,6,1396
55,n,merpeople,6,1396
85,n,demon whale,6,1396
91,s,nessie,6,1396
28,n,sharks,6,1396
23,n,sharks,6,1396
71,s,merpeople,6,1396
18,s,pirates,6,1396
23,n,sharks,6,1396
40,n,crabmonsters,6,1396
100,s,unknown,6,1396
76,s,merpeople,6,1396
75,n,water elemental,6,1396
12,s,pirates,6,1396
42,n,pirates,6,1396
7,s,pirates,6,1396
8,s,harpy,6,1396
83,s,water elemental,6,1396
20,n,sharks,6,1396
22,n,sharks,6,1396
16,s,harpy,6,1396
33,n,pirates,6,1396
100,n,unknown,6,1396
19,s,pirates,6,1396
100,s,unknown,6,1396
100,s,unknown,6,1396
15,n,harpy,6,1396
85,n,merpeople,6,1396
100,s,unknown,6,1396
42,s,pirates,6,1396
44,s,kraken,6,1396
49,s,kraken,6,1396
100,s,unknown,6,1396
100,n,unknown,6,1396
78,s,water elemental,6,1396
22,n,pirates,6,1396
87,s,nessie,6,1396
24,n,sharks,6,1396
100,n,unknown,6,1396
16,n,harpy,6,1396
14,n,pirates,6,1396
14,n,pirates,6,1396
37,s,sharks,6,1396
13,s,pirates,6,1396
15,n,pirates,6,1396
78,s,water elemental,6,1396
100,n,unknown,6,1396
21,n,merpeople,6,1396
36,s,pirates,6,1396
42,s,merpeople,6,1396
18,s,pirates,6,1396
23,n,pirates,6,1396
62,s,merpeople,6,1396
